true_numeric,true_name,pred_numeric,pred_name,test_accuracy,test_balanced_accuracy,test_f1_macro,test_top_3_accuracy,test_top_5_accuracy
19,Music,19,Music,0.8693069306930693,0.7208351769059973,0.6991738772230134,0.9495049504950495,0.9762376237623762
25,Voices,25,Voices,0.8693069306930693,0.7208351769059973,0.6991738772230134,0.9495049504950495,0.9762376237623762
7,Cicadas,7,Cicadas,0.8693069306930693,0.7208351769059973,0.6991738772230134,0.9495049504950495,0.9762376237623762
4,Brush cutter,4,Brush cutter,0.8693069306930693,0.7208351769059973,0.6991738772230134,0.9495049504950495,0.9762376237623762
25,Voices,25,Voices,0.8693069306930693,0.7208351769059973,0.6991738772230134,0.9495049504950495,0.9762376237623762
11,Fireworks,11,Fireworks,0.8693069306930693,0.7208351769059973,0.6991738772230134,0.9495049504950495,0.9762376237623762
37,saw,32,grinder,0.8693069306930693,0.7208351769059973,0.6991738772230134,0.9495049504950495,0.9762376237623762
19,Music,19,Music,0.8693069306930693,0.7208351769059973,0.6991738772230134,0.9495049504950495,0.9762376237623762
19,Music,19,Music,0.8693069306930693,0.7208351769059973,0.6991738772230134,0.9495049504950495,0.9762376237623762
19,Music,19,Music,0.8693069306930693,0.7208351769059973,0.6991738772230134,0.9495049504950495,0.9762376237623762
3,Birds,3,Birds,0.8693069306930693,0.7208351769059973,0.6991738772230134,0.9495049504950495,0.9762376237623762
25,Voices,25,Voices,0.8693069306930693,0.7208351769059973,0.6991738772230134,0.9495049504950495,0.9762376237623762
25,Voices,25,Voices,0.8693069306930693,0.7208351769059973,0.6991738772230134,0.9495049504950495,0.9762376237623762
25,Voices,25,Voices,0.8693069306930693,0.7208351769059973,0.6991738772230134,0.9495049504950495,0.9762376237623762
11,Fireworks,11,Fireworks,0.8693069306930693,0.7208351769059973,0.6991738772230134,0.9495049504950495,0.9762376237623762
25,Voices,25,Voices,0.8693069306930693,0.7208351769059973,0.6991738772230134,0.9495049504950495,0.9762376237623762
19,Music,19,Music,0.8693069306930693,0.7208351769059973,0.6991738772230134,0.9495049504950495,0.9762376237623762
29,car truck idling,24,Train,0.8693069306930693,0.7208351769059973,0.6991738772230134,0.9495049504950495,0.9762376237623762
1,Alarms,22,Sirens,0.8693069306930693,0.7208351769059973,0.6991738772230134,0.9495049504950495,0.9762376237623762
19,Music,19,Music,0.8693069306930693,0.7208351769059973,0.6991738772230134,0.9495049504950495,0.9762376237623762
19,Music,19,Music,0.8693069306930693,0.7208351769059973,0.6991738772230134,0.9495049504950495,0.9762376237623762
19,Music,5,Cat fights and moans,0.8693069306930693,0.7208351769059973,0.6991738772230134,0.9495049504950495,0.9762376237623762
5,Cat fights and moans,5,Cat fights and moans,0.8693069306930693,0.7208351769059973,0.6991738772230134,0.9495049504950495,0.9762376237623762
2,Bells,2,Bells,0.8693069306930693,0.7208351769059973,0.6991738772230134,0.9495049504950495,0.9762376237623762
12,Glass breaking,12,Glass breaking,0.8693069306930693,0.7208351769059973,0.6991738772230134,0.9495049504950495,0.9762376237623762
9,Crows,9,Crows,0.8693069306930693,0.7208351769059973,0.6991738772230134,0.9495049504950495,0.9762376237623762
0,Airplanes,0,Airplanes,0.8693069306930693,0.7208351769059973,0.6991738772230134,0.9495049504950495,0.9762376237623762
14,Helicopters,14,Helicopters,0.8693069306930693,0.7208351769059973,0.6991738772230134,0.9495049504950495,0.9762376237623762
25,Voices,25,Voices,0.8693069306930693,0.7208351769059973,0.6991738772230134,0.9495049504950495,0.9762376237623762
